timestamp,gpu_id,gpu_name,gpu_util%,mem_used_mb,mem_total_mb,mem_util%,temp_c,power_w
2026-05-16 02:15:34,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 38, 65, 310.98
2026-05-16 02:15:34,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 39, 70, 380.67
2026-05-16 02:15:39,0, NVIDIA A800-SXM4-80GB, 99, 77036, 81920, 33, 63, 278.12
2026-05-16 02:15:39,1, NVIDIA A800-SXM4-80GB, 99, 77024, 81920, 33, 66, 287.30
2026-05-16 02:15:44,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 39, 63, 299.64
2026-05-16 02:15:44,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 39, 68, 406.75
2026-05-16 02:15:49,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 38, 63, 416.29
2026-05-16 02:15:49,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 38, 70, 438.40
2026-05-16 02:15:54,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 40, 64, 434.87
2026-05-16 02:15:54,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 41, 69, 453.45
2026-05-16 02:15:59,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 63, 64, 289.49
2026-05-16 02:15:59,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 44, 68, 408.02
2026-05-16 02:16:05,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 43, 65, 323.27
2026-05-16 02:16:05,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 42, 70, 299.02
2026-05-16 02:16:10,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 45, 65, 344.17
2026-05-16 02:16:10,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 45, 70, 417.23
2026-05-16 02:16:15,0, NVIDIA A800-SXM4-80GB, 99, 77036, 81920, 48, 65, 339.55
2026-05-16 02:16:15,1, NVIDIA A800-SXM4-80GB, 99, 77024, 81920, 47, 69, 393.36
2026-05-16 02:16:20,0, NVIDIA A800-SXM4-80GB, 96, 77036, 81920, 43, 64, 385.58
2026-05-16 02:16:20,1, NVIDIA A800-SXM4-80GB, 96, 77024, 81920, 53, 68, 391.49
2026-05-16 02:16:25,0, NVIDIA A800-SXM4-80GB, 99, 77036, 81920, 47, 65, 362.86
2026-05-16 02:16:25,1, NVIDIA A800-SXM4-80GB, 99, 77024, 81920, 47, 69, 355.89
2026-05-16 02:16:30,0, NVIDIA A800-SXM4-80GB, 99, 77036, 81920, 33, 64, 351.86
2026-05-16 02:16:30,1, NVIDIA A800-SXM4-80GB, 99, 77024, 81920, 42, 66, 275.64
2026-05-16 02:16:35,0, NVIDIA A800-SXM4-80GB, 99, 77036, 81920, 47, 64, 371.46
2026-05-16 02:16:35,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 44, 69, 358.32
2026-05-16 02:16:40,0, NVIDIA A800-SXM4-80GB, 99, 77036, 81920, 45, 67, 264.00
2026-05-16 02:16:40,1, NVIDIA A800-SXM4-80GB, 99, 77024, 81920, 41, 71, 378.63
2026-05-16 02:16:46,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 41, 67, 348.41
2026-05-16 02:16:46,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 40, 71, 374.93
2026-05-16 02:16:51,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 33, 66, 425.67
2026-05-16 02:16:51,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 33, 72, 434.42
2026-05-16 02:16:56,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 37, 66, 368.71
2026-05-16 02:16:56,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 38, 71, 445.12
2026-05-16 02:17:01,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 39, 66, 460.65
2026-05-16 02:17:01,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 36, 72, 298.68
2026-05-16 02:17:06,0, NVIDIA A800-SXM4-80GB, 99, 77036, 81920, 35, 67, 358.89
2026-05-16 02:17:06,1, NVIDIA A800-SXM4-80GB, 99, 77024, 81920, 33, 72, 402.26
2026-05-16 02:17:11,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 37, 66, 355.20
2026-05-16 02:17:11,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 37, 70, 359.26
2026-05-16 02:17:16,0, NVIDIA A800-SXM4-80GB, 100, 77036, 81920, 39, 66, 396.12
2026-05-16 02:17:16,1, NVIDIA A800-SXM4-80GB, 100, 77024, 81920, 39, 72, 460.50
